"Source","File","Change","Status"
"storyseedling","StorySeedling.kt","import java.text.SimpleDateFormat -> import kotlinx.datetime.*","Replaced"
"storyseedling","StorySeedling.kt","import java.util.Locale -> // import java.util.Locale - Not needed for KMP","Replaced"
"storyseedling","StorySeedling.kt","import org.jsoup.nodes.Document -> import com.fleeksoft.ksoup.nodes.Document","Replaced"
"webnovelcom","Webnovel.kt","import java.util.Calendar -> // import java.util.Calendar - Use kotlinx.datetime","Replaced"
"webnovelcom","Webnovel.kt","import java.text.SimpleDateFormat -> import kotlinx.datetime.*","Replaced"
"webnovelcom","Webnovel.kt","import java.util.Locale -> // import java.util.Locale - Not needed for KMP","Replaced"
"webnovelcom","Webnovel.kt","import org.jsoup.nodes.Element -> import com.fleeksoft.ksoup.nodes.Element","Replaced"
"webnovelcom","Webnovel.kt","import org.jsoup.nodes.Document -> import com.fleeksoft.ksoup.nodes.Document","Replaced"
"webnovelcom","Webnovel.kt","Contains SimpleDateFormat - needs manual migration","NeedsAttention"
"webnovelcom","Webnovel.kt","Contains Calendar.getInstance - needs manual migration","NeedsAttention"
"wnmtl","WnMtl.kt","import org.jsoup.nodes.Document -> import com.fleeksoft.ksoup.nodes.Document","Replaced"
"wuxiaworld","Wuxiaworld.kt","Jsoup.parse( -> Ksoup.parse(","Replaced"
"wuxiaworld","Wuxiaworld.kt","import org.jsoup.Jsoup -> import com.fleeksoft.ksoup.Ksoup","Replaced"
"wuxiaworldsite","WuxiaWorld.kt","import java.util.Calendar -> // import java.util.Calendar - Use kotlinx.datetime","Replaced"
"wuxiaworldsite","WuxiaWorld.kt","Jsoup.parse( -> Ksoup.parse(","Replaced"
"wuxiaworldsite","WuxiaWorld.kt","import java.text.SimpleDateFormat -> import kotlinx.datetime.*","Replaced"
"wuxiaworldsite","WuxiaWorld.kt","import java.util.Locale -> // import java.util.Locale - Not needed for KMP","Replaced"
"wuxiaworldsite","WuxiaWorld.kt","import org.jsoup.Jsoup -> import com.fleeksoft.ksoup.Ksoup","Replaced"
"wuxiaworldsite","WuxiaWorld.kt","import org.jsoup.nodes.Element -> import com.fleeksoft.ksoup.nodes.Element","Replaced"
